freq,word
1, 'advanced'
1, 'aliphadic_acid_anhydrides_-_gb_patent_0299342'
1, 'almost'
1, 'ayahuasca'
1, 'bake'
1, 'bonus'
1, 'catalog'
1, 'cheap'
1, 'chemi'
1, 'closet'
1, 'culture'
1, 'delicious'
1, 'dummies'
1, 'etc'
1, 'extract'
1, 'extraction'
1, 'free'
1, 'grower'
1, 'handbook'
1, 'impregnate'
1, 'in'
1, 'introductory'
1, 'manu'
1, 'manufacturer'
1, 'most'
1, 'now'
1, 'one'
1, 'po'
1, 'psilocybin'
1, 'recipes'
1, 'shake'
1, 'step-by-'
1, 'synthese'
1, 'whole'
2, '3,4-mdma'
2, '3rd'
2, '4th'
2, '8th'
2, 'a-z'
2, 'any'
2, 'basics'
2, 'breeders'
2, 'bud'
2, 'buds'
2, 'cann'
2, 'chemicals'
2, 'chemist'
2, 'civilizations'
2, 'clandestine'
2, 'clash'
2, 'clean'
2, 'commons'
2, 'cooking'
2, 'crack'
2, 'cultivator'
2, 'definitive'
2, 'e-book'
2, 'e-books'
2, 'edit'
2, 'everything'
2, 'fester'
2, 'freebase'
2, 'full'
2, 'genetics'
2, 'gigapack'
2, 'gold'
2, 'green'
2, 'greg'
2, 'growers'
2, 'her'
2, 'homemade'
2, 'horticulture'
2, 'impurties'
2, 'indoor'
2, 'indoor/outdoor'
2, 'instructional'
2, 'it'
2, 'less'
2, 'lsd-25'
2, 'manufacturing'
2, 'med'
2, 'method'
2, 'mushroom'
2, 'or'
2, 'over'
2, 'oz'
2, 'paper'
2, 'paperboard'
2, 'pleasures'
2, 'practically'
2, 'processing'
2, 'production'
2, 'purify'
2, 'ref'
2, 'reference'
2, 'remaking'
2, 'science'
2, 'soma'
2, 'step-by-step'
2, 'style'
2, 'survival'
2, 'synthesis-sources-easy'
2, 'textbook'
2, 'tryptamine'
2, 'ultimate'
2, 'uncle'
2, 'very'
2, 'wash'
2, 'yourself'
2, '͜ʖ͠≖'
2, '͠≖'
3, 'all'
3, 'beginners'
3, 'big'
3, 'contemporary'
3, 'cookbooks'
3, 'first'
3, 'from'
3, 'great'
3, 'laboratory'
3, 'methamphetamine'
3, 'narcotics'
3, 'open'
3, 'otto'
3, 'pics'
3, 'pot'
3, 'snow'
3, 'time'
4, 'books'
4, 'cookbook'
4, 'cultivation'
4, 'edition'
4, 'fast'
4, 'gui'
4, 'making'
4, 'manual'
4, 'overview'
4, 'pictures'
4, 'practical'
4, 'shipping'
4, '⭐how'
5, 'collection'
5, 'organic'
5, 'syntheses'
6, 'ebook'
6, 'elite'
6, 'ghb'
6, 'guides'
6, 'manufacture'
6, 'megapack'
6, 'psychedelic'
6, 'tutorials'
7, 'easy'
7, 'magic'
8, 'an'
8, 'at'
8, 'home'
9, 'and'
10, 'bible'
10, 'chemistry'
10, 'speed'
11, 'alcohol'
12, 'heroin'
12, 'mushrooms'
13, 'drugs'
14, 'complete'
14, 'for'
14, 'of'
14, 'pack'
15, 'photos'
16, 'banned'
16, 'ebooks'
16, 'mushro'
16, 'weed'
17, 'dmt'
18, 'cannabis'
18, 'drug'
18, 'lsd'
18, 'synthesis'
21, 'secrets'
22, 'mdma'
23, 'meth'
23, 'with'
24, 'cocaine'
25, 'growing'
27, 'amphetamine'
27, 'guide'
31, 'marijuana'
40, 'the'
43, 'grow'
64, '...'
114, 'make'
125, 'how'
130, 'to'
