freq,word,exfreq,LL,sig
1, 'with',145.0,0.03405648519916232,Not significant
2, 'of',292.0,0.06344078022525546,Not significant
1, 'pack',130.0,0.0812235294160657,Not significant
7, '...',944.0,0.4432822692528453,Not significant
2, 'the',547.0,0.4564982736849523,Not significant
3, 'for',271.0,1.0656132000989573,Not significant
2, 'your',140.0,1.2619958142155072,Not significant
3, 'and',243.0,1.3980063882667197,Not significant
1, 'making',32.0,1.7480248803778118,Not significant
1, 'mega',27.0,2.025351141605195,Not significant
12, 'to',1059.0,4.535262033431893,0.05
5, 'make',270.0,4.820154694367946,0.05
2, 'using',29.0,6.191700023741047,0.05
1, '★▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄',1.0,7.585595528782184,0.01
2, 'use',16.0,8.31749004193526,0.01
2, 'own',14.0,8.796075047758364,0.01
1, 'templa',0.0,10.346821608861932,0.01
1, '★▄▀▄▀▄▀▄▀▄▀▄▀▄',0.0,10.346821608861932,0.01
1, '£20',0.0,10.346821608861932,0.01
2, 'scans',8.0,10.776495884240378,0.01
2, 'usd',6.0,11.764456756783133,0.001
12, 'how',588.0,13.19615696076459,0.001
2, 'bills',2.0,15.171191057564368,0.0001
2, 'psds',1.0,16.88592085011502,0.0001
2, 'passports',0.0,20.693643217723864,0.0001
2, 'bleachin',0.0,20.693643217723864,0.0001
2, '13gb',0.0,20.693643217723864,0.0001
2, 'dl',0.0,20.693643217723864,0.0001
7, 'money',102.0,21.61009843316932,0.0001
3, 'templates',3.0,22.75678658634655,0.0001
4, 'currency',12.0,23.528913513566266,0.0001
5, 'pass',13.0,30.611501526469127,0.0001
4, 'psd',1.0,36.39462484222588,0.0001
6, 'notes',0.0,62.080929653171594,0.0001
10, 'fake',12.0,73.28816130156675,0.0001
9, 'counterfeit',0.0,93.12139447975738,0.0001
