freq,word
0,how
0,make
0,the
0,to
1,disappear
1,from
1,image
1,internet
1,lien
1,mugshot
1,or
1,removal
1,tax
1,▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀
2,clean
2,clear
2,clone
2,history
2,records
4,criminal
4,your
