freq,word
0,how
0,the
0,to
1,agents
1,be
1,buy
1,do
1,dox
1,doxx
1,doxxed
1,fbi
1,from
1,n't
1,site
1,this
1,tutorial
1,will
1,you
2,about
2,all
2,become
2,full
2,god
3,complete
4,guide
7,doxing
