freq,word,exfreq,LL,sig
0,'s,0,0,Not significant
1,dummies,26,0,Not significant
1,ed,10,0,Not significant
3,in,168,0,Not significant
3,edition,72,0,Not significant
1,everything,11,0,Not significant
1,first,13,0,Not significant
1,yourself,12,0,Not significant
2,vouched,50,0,Not significant
1,guides,62,0,Not significant
1,handbook,20,0,Not significant
1,help,66,0,Not significant
2,tutorial,70,0,Not significant
1,introduction,23,0,Not significant
3,or,61,0,Not significant
1,megapack,23,0,Not significant
1,order,11,0,Not significant
1,over,27,0,Not significant
1,psilocybin,10,0,Not significant
2,it,34,0,Not significant
1,recipes,14,0,Not significant
1,science,13,0,Not significant
1,simple,12,0,Not significant
2,any,40,0,Not significant
1,than,10,0,Not significant
1,time,15,0,Not significant
2,all,44,0,Not significant
1,way,20,0,Not significant
1,world,15,0,Not significant
1,new,68,0,Not significant
1,cheap,10,0,Not significant
1,gold,14,0,Not significant
1,3rd,16,0,Not significant
4,from,89,0,Not significant
11,of,279,0,Not significant
4,your,123,0,Not significant
1,advanced,14,0,Not significant
1,available,11,0,Not significant
0,to,0,0,Not significant
0,make,0,0,Not significant
1,books,17,0,Not significant
1,can,38,0,Not significant
10,for,306,0,Not significant
0,and,0,0,Not significant
0,how,0,0,Not significant
5,pack,94,1,Not significant
1,you,89,1,Not significant
1,basics,7,1,Not significant
1,profit,8,1,Not significant
1,beginner,9,1,Not significant
2,shipping,20,1,Not significant
1,bonus,8,1,Not significant
2,an,28,1,Not significant
2,collection,21,1,Not significant
1,so,6,1,Not significant
2,own,21,1,Not significant
1,etc,8,1,Not significant
1,total,5,1,Not significant
1,4th,7,1,Not significant
1,17,4,2,Not significant
2,full,19,2,Not significant
1,method,122,2,Not significant
2,now,19,2,Not significant
1,70,3,2,Not significant
1,on,122,2,Not significant
1,oz,3,2,Not significant
1,ii,4,2,Not significant
1,made,4,2,Not significant
1,survival,4,2,Not significant
1,crack,4,2,Not significant
1,definitive,4,2,Not significant
20,the,467,2,Not significant
1,easiest,3,2,Not significant
1,book,108,2,Not significant
4,easy,48,2,Not significant
2,clean,15,2,Not significant
3,big,33,2,Not significant
1,production,2,3,Not significant
3,tutorials,24,3,0.05
1,contemporary,2,3,Not significant
2,͜ʖ͠≖,12,3,Not significant
3,more,28,3,Not significant
10,with,167,3,0.05
2,͠≖,12,3,Not significant
1,huge,2,3,Not significant
1,102,2,3,Not significant
2,open,10,3,0.05
1,extract,2,3,Not significant
1,self,2,3,Not significant
1,textbooks,2,3,Not significant
1,remove,1,4,0.05
1,written,1,4,0.05
2,fast,8,4,0.05
1,chemicals,1,4,0.05
1,â£1,1,4,0.05
1,bud,1,4,0.05
1,everyday,1,4,0.05
1,42,1,4,0.05
2,weed,8,4,0.05
1,grower,1,4,0.05
1,delicious,1,4,0.05
1,buds,1,4,0.05
1,dr,1,4,0.05
1,clash,1,4,0.05
1,catalog,1,4,0.05
1,manufacturer,1,4,0.05
5,by,53,4,0.05
4,beginners,34,4,0.05
1,producing,1,4,0.05
