freq,word,exfreq,LL,sig
0,'s,0,0,Not significant
1,just,17,0,Not significant
1,keep,6,0,Not significant
1,key,28,0,Not significant
1,kit,5,0,Not significant
1,life,8,0,Not significant
1,little,6,0,Not significant
1,love,5,0,Not significant
1,machine,17,0,Not significant
1,man,5,0,Not significant
1,management,8,0,Not significant
1,manual,9,0,Not significant
1,marketing,4,0,Not significant
1,mastering,14,0,Not significant
1,medical,4,0,Not significant
1,men,4,0,Not significant
1,most,8,0,Not significant
1,n't,15,0,Not significant
1,network,24,0,Not significant
1,off,8,0,Not significant
1,other,13,0,Not significant
1,own,29,0,Not significant
1,pay,6,0,Not significant
1,picking,6,0,Not significant
1,practice,4,0,Not significant
1,pro,14,0,Not significant
1,problem,25,0,Not significant
1,problems,7,0,Not significant
1,profit,9,0,Not significant
1,protection,5,0,Not significant
1,js,4,0,Not significant
1,iphones,4,0,Not significant
1,iphone,11,0,Not significant
1,ipad,8,0,Not significant
1,attacks,5,0,Not significant
1,back,11,0,Not significant
1,bad,11,0,Not significant
1,become,11,0,Not significant
1,beginner,14,0,Not significant
1,being,9,0,Not significant
1,cia,10,0,Not significant
1,clean,18,0,Not significant
1,com,23,0,Not significant
1,daily,8,0,Not significant
1,data,30,0,Not significant
1,definitive,5,0,Not significant
1,design,8,0,Not significant
1,dirty,7,0,Not significant
1,read,15,0,Not significant
1,dump,4,0,Not significant
1,exposed,4,0,Not significant
1,facebook,17,0,Not significant
1,first,12,0,Not significant
1,french,5,0,Not significant
1,funds,9,0,Not significant
1,future,4,0,Not significant
1,good,26,0,Not significant
1,guidebook,6,0,Not significant
1,hell,5,0,Not significant
1,home,21,0,Not significant
1,hq,5,0,Not significant
1,idea,5,0,Not significant
1,image,4,0,Not significant
1,into,16,0,Not significant
1,ed,13,0,Not significant
1,atm,13,0,Not significant
1,real,13,0,Not significant
1,reviewed,8,0,Not significant
2,language,12,0,Not significant
2,mega,17,0,Not significant
2,mobile,25,0,Not significant
2,more,30,0,Not significant
2,practical,17,0,Not significant
2,premium,24,0,Not significant
2,question,48,0,Not significant
2,things,12,0,Not significant
2,very,17,0,Not significant
2,ways,13,0,Not significant
2,working,33,0,Not significant
3,it,44,0,Not significant
3,one,31,0,Not significant
3,questions,25,0,Not significant
3,us,28,0,Not significant
3,way,26,0,Not significant
4,about,51,0,Not significant
4,big,38,0,Not significant
4,need,44,0,Not significant
4,not,62,0,Not significant
4,ultimate,75,0,Not significant
4,what,52,0,Not significant
5,by,58,0,Not significant
5,guides,63,0,Not significant
5,money,68,0,Not significant
9,on,148,0,Not significant
9,you,100,0,Not significant
9,your,144,0,Not significant
10,free,125,0,Not significant
2,grow,13,0,Not significant
2,digital,29,0,Not significant
2,course,12,0,Not significant
2,cheap,12,0,Not significant
1,right,4,0,Not significant
1,road,4,0,Not significant
1,safety,15,0,Not significant
1,see,5,0,Not significant
1,sell,10,0,Not significant
1,selling,12,0,Not significant
1,so,11,0,Not significant
1,software,20,0,Not significant
1,someone,11,0,Not significant
1,spark,5,0,Not significant
1,started,4,0,Not significant
1,stop,7,0,Not significant
1,straight,32,0,Not significant
1,testing,11,0,Not significant
1,reasons,6,0,Not significant
1,that,17,0,Not significant
1,two,5,0,Not significant
1,ultra,8,0,Not significant
1,video,23,0,Not significant
1,virtual,20,0,Not significant
1,visual,9,0,Not significant
1,was,4,0,Not significant
1,why,11,0,Not significant
1,will,11,0,Not significant
1,without,23,0,Not significant
1,works,12,0,Not significant
1,worldwide,8,0,Not significant
2,3rd,18,0,Not significant
2,any,44,0,Not significant
2,cards,35,0,Not significant
1,tools,13,0,Not significant
1,approach,8,0,Not significant
34,for,384,0,Not significant
1,app,6,0,Not significant
1,again,9,0,Not significant
1,age,6,0,Not significant
1,alcohol,8,0,Not significant
1,almost,12,0,Not significant
1,amazing,4,0,Not significant
1,15,5,0,Not significant
1,22,4,0,Not significant
1,applications,10,0,Not significant
1,14,4,0,Not significant
1,abuse,4,0,Not significant
1,``,27,0,Not significant
1,3d,6,0,Not significant
1,10,8,0,Not significant
1,analytics,12,0,Not significant
0,the,0,0,Not significant
0,of,0,0,Not significant
0,to,0,0,Not significant
0,make,0,0,Not significant
1,'',26,0,Not significant
0,how,0,0,Not significant
0,and,0,0,Not significant
1,anyone,32,0,Not significant
1,seduction,2,1,Not significant
1,financial,3,1,Not significant
1,robert,2,1,Not significant
1,standard,2,1,Not significant
1,23,2,1,Not significant
1,223,2,1,Not significant
1,special,3,1,Not significant
1,ez,2,1,Not significant
1,extreme,3,1,Not significant
1,scam,35,1,Not significant
1,56,2,1,Not significant
1,249,2,1,Not significant
1,king,2,1,Not significant
1,stupid,3,1,Not significant
1,everyday,3,1,Not significant
1,supposed,2,1,Not significant
1,term,2,1,Not significant
1,let,3,1,Not significant
1,thoughts,3,1,Not significant
1,197,2,1,Not significant
1,up,38,1,Not significant
1,196,2,1,Not significant
1,wicca,2,1,Not significant
1,experience,2,1,Not significant
1,7th,2,1,Not significant
1,rise,3,1,Not significant
1,reality,3,1,Not significant
1,52,3,1,Not significant
1,introductory,3,1,Not significant
1,46,2,1,Not significant
1,interview,2,1,Not significant
1,40,2,1,Not significant
1,intelligence,2,1,Not significant
1,long,2,1,Not significant
1,70,3,1,Not significant
1,37,2,1,Not significant
1,middle,3,1,Not significant
1,32,2,1,Not significant
1,online,38,1,Not significant
1,only,36,1,Not significant
1,human,3,1,Not significant
1,repair,2,1,Not significant
1,huge,3,1,Not significant
1,part,2,1,Not significant
1,parts,2,1,Not significant
1,pick-a-book,37,1,Not significant
1,hiding,3,1,Not significant
1,pocket,3,1,Not significant
1,killing,3,1,Not significant
1,primer,2,1,Not significant
1,27,2,1,Not significant
1,driven,2,1,Not significant
1,production,3,1,Not significant
1,greene,2,1,Not significant
1,government,2,1,Not significant
1,proven,2,1,Not significant
1,girls,3,1,Not significant
1,loading,2,1,Not significant
1,women,2,1,Not significant
1,textbooks,2,1,Not significant
1,leaked,3,1,Not significant
2,we,9,1,Not significant
2,be,57,1,Not significant
4,at,29,1,Not significant
2,control,8,1,Not significant
3,â,82,1,Not significant
2,e-book,8,1,Not significant
2,every,10,1,Not significant
2,want,11,1,Not significant
2,everything,10,1,Not significant
1,109,2,1,Not significant
1,creating,3,1,Not significant
1,chemicals,2,1,Not significant
3,art,18,1,Not significant
2,pi,9,1,Not significant
3,or,75,1,Not significant
1,136,2,1,Not significant
3,world,16,1,Not significant
2,raspberry,9,1,Not significant
2,after,11,1,Not significant
1,cheapest,3,1,Not significant
2,super,10,1,Not significant
1,another,2,1,Not significant
1,writing,2,1,Not significant
1,an,43,1,Not significant
1,codes,3,1,Not significant
1,college,2,1,Not significant
2,volume,11,1,Not significant
2,social,11,1,Not significant
1,111,2,1,Not significant
1,android,36,1,Not significant
4,over,29,1,Not significant
1,aka,2,1,Not significant
2,set,10,1,Not significant
1,photoshop,1,2,Not significant
1,295,1,2,Not significant
1,120,1,2,Not significant
1,playstation,1,2,Not significant
1,115,1,2,Not significant
1,296,1,2,Not significant
1,our,1,2,Not significant
2,top,7,2,Not significant
1,121,1,2,Not significant
1,passive,1,2,Not significant
1,medicine,1,2,Not significant
1,302,1,2,Not significant
1,600,1,2,Not significant
1,limits,1,2,Not significant
8,complete,58,2,Not significant
5,are,28,2,Not significant
1,logic,1,2,Not significant
1,'re,1,2,Not significant
1,logical,1,2,Not significant
4,private,22,2,Not significant
1,loose,1,2,Not significant
1,58,1,2,Not significant
1,mafia,1,2,Not significant
1,makes,1,2,Not significant
1,-only,1,2,Not significant
1,manifesto,1,2,Not significant
1,mans,1,2,Not significant
4,from,112,2,Not significant
4,bible,20,2,Not significant
1,44,1,2,Not significant
3,success,13,2,Not significant
1,10th,1,2,Not significant
1,muscle,1,2,Not significant
1,315,1,2,Not significant
1,nations,1,2,Not significant
1,301,1,2,Not significant
1,portable,1,2,Not significant
1,164,1,2,Not significant
1,122,1,2,Not significant
1,146,1,2,Not significant
1,151,1,2,Not significant
1,157,1,2,Not significant
1,214,1,2,Not significant
1,tests,1,2,Not significant
2,50,6,2,Not significant
1,ton,1,2,Not significant
1,205,1,2,Not significant
1,tower,1,2,Not significant
1,200,1,2,Not significant
1,163,1,2,Not significant
1,█▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀,1,2,Not significant
1,184,1,2,Not significant
1,181,1,2,Not significant
1,war,1,2,Not significant
1,178,1,2,Not significant
1,176,1,2,Not significant
1,york,1,2,Not significant
1,174,1,2,Not significant
1,worst-case,1,2,Not significant
1,william,1,2,Not significant
1,winning,1,2,Not significant
1,167,1,2,Not significant
1,145,1,2,Not significant
2,information,7,2,Not significant
2,instant,7,2,Not significant
2,like,7,2,Not significant
1,printing,1,2,Not significant
1,278,1,2,Not significant
1,268,1,2,Not significant
1,165,1,2,Not significant
1,raising,1,2,Not significant
1,rare,1,2,Not significant
1,re,1,2,Not significant
1,260,1,2,Not significant
1,26,1,2,Not significant
1,126,1,2,Not significant
1,257,1,2,Not significant
1,289,1,2,Not significant
1,253,1,2,Not significant
2,new,74,2,Not significant
1,sales,1,2,Not significant
1,sas,1,2,Not significant
2,never,7,2,Not significant
1,scenario,1,2,Not significant
1,132,1,2,Not significant
1,241,1,2,Not significant
1,24,1,2,Not significant
1,239,1,2,Not significant
1,shadow,1,2,Not significant
1,233,1,2,Not significant
1,131,1,2,Not significant
1,264,1,2,Not significant
1,222,1,2,Not significant
1,casting,1,2,Not significant
1,fantasies,1,2,Not significant
1,careers,1,2,Not significant
1,cash,52,2,Not significant
1,law,1,2,Not significant
1,83,1,2,Not significant
1,chicks,1,2,Not significant
1,fight,1,2,Not significant
1,anarchy,1,2,Not significant
1,bank,45,2,Not significant
1,exercises,1,2,Not significant
1,four,1,2,Not significant
1,con,1,2,Not significant
1,92,1,2,Not significant
1,doctor,1,2,Not significant
1,gchq,1,2,Not significant
1,accounting,1,2,Not significant
1,detection,1,2,Not significant
1,douglas,1,2,Not significant
1,61,1,2,Not significant
1,do-it-yourself,1,2,Not significant
1,2nd,56,3,Not significant
3,pdf,9,3,Not significant
2,my,77,3,Not significant
2,who,5,3,Not significant
2,defense,4,3,Not significant
2,sex,4,3,Not significant
2,6th,5,3,Not significant
2,underground,5,3,Not significant
2,talk,5,3,Not significant
23,guide,438,3,Not significant
1,use,59,3,Not significant
2,hidden,5,3,Not significant
2,store,5,3,Not significant
2,spirit,4,3,Not significant
1,amazon,58,3,Not significant
2,investing,4,3,Not significant
2,sign,5,3,Not significant
2,black,5,3,Not significant
1,easy,56,3,Not significant
10,do,70,3,Not significant
5,secrets,25,3,Not significant
5,100,21,4,0.05
2,inside,3,4,0.05
2,theory,3,4,0.05
2,less,3,4,0.05
2,non,3,4,0.05
4,business,14,4,0.05
2,sexual,3,4,0.05
2,lost,3,4,0.05
5,know,19,4,0.05
4,work,13,4,0.05
