freq,word,exfreq,LL,sig
1,exploits,3,7,0.01
1,source,3,7,0.01
1,others,2,8,0.01
1,slaves,2,8,0.01
1,keylogger,2,8,0.01
1,driven,2,8,0.01
1,hands,1,9,0.01
1,embedded,1,9,0.01
1,botnets,1,9,0.01
1,stealing,1,9,0.01
2,windows,20,10,0.01
1,lots,0,11,0.001
2,create,15,11,0.001
1,antivirus,0,11,0.001
1,targeted,0,11,0.001
1,multi-staged,0,11,0.001
1,spyware,0,11,0.001
1,spyagent,0,11,0.001
1,builders,0,11,0.001
1,datamining,0,11,0.001
1,rootkits,0,11,0.001
1,ransomware,0,11,0.001
1,phildelphia,0,11,0.001
1,fud,0,11,0.001
1,spytech,0,11,0.001
2,attacks,4,16,0.0001
2,virus,4,16,0.0001
3,analysis,13,20,0.0001
2,backdoor,0,23,0.0001
6,malware,6,54,0.0001
