freq,word,exfreq,LL,sig
7,100,23,6,0.01
6,handbook,15,7,0.01
3,engineering,3,7,0.01
5,know,11,7,0.01
3,em,3,7,0.01
3,survival,2,8,0.01
4,end,5,8,0.01
7,secret,18,8,0.01
3,america,2,8,0.01
3,talk,1,10,0.001
2,witchcraft,0,10,0.01
6,time,10,10,0.001
2,witches,0,10,0.01
3,kill,1,10,0.001
2,authors,0,10,0.01
2,vladimir,0,10,0.01
2,esoteric,0,10,0.01
2,alain,0,10,0.01
2,family,0,10,0.01
2,franco,0,10,0.01
2,greatest,0,10,0.01
2,hitler,0,10,0.01
2,ibooks,0,10,0.01
2,1984,0,10,0.01
2,engles,0,10,0.01
2,kampf,0,10,0.01
2,lies,0,10,0.01
2,wealth,0,10,0.01
2,lolita,0,10,0.01
2,longevity,0,10,0.01
2,louis,0,10,0.01
2,machining,0,10,0.01
2,magica,0,10,0.01
2,managing,0,10,0.01
2,kristeva,0,10,0.01
2,mein,0,10,0.01
2,england,0,10,0.01
2,economy,0,10,0.01
2,capital,0,10,0.01
2,causes,0,10,0.01
2,articles,0,10,0.01
2,class,0,10,0.01
2,codex,0,10,0.01
2,coleman,0,10,0.01
2,communist,0,10,0.01
2,condition,0,10,0.01
2,althusser,0,10,0.01
2,consumer,0,10,0.01
2,deal,0,10,0.01
2,antonio,0,10,0.01
2,deities,0,10,0.01
2,demons,0,10,0.01
2,dialectics,0,10,0.01
2,dictatorship,0,10,0.01
2,dictionary,0,10,0.01
2,duhring,0,10,0.01
2,david,0,10,0.01
2,mind,0,10,0.01
2,logic,0,10,0.01
2,revolt,0,10,0.01
2,property,0,10,0.01
2,selected,0,10,0.01
2,signs,0,10,0.01
2,principles,0,10,0.01
2,prepper,0,10,0.01
2,politics,0,10,0.01
2,simulacra,0,10,0.01
2,simulation,0,10,0.01
2,socialism,0,10,0.01
2,political,0,10,0.01
2,seal,0,10,0.01
2,society,0,10,0.01
2,specters,0,10,0.01
2,places,0,10,0.01
2,myths,0,10,0.01
2,symbols,0,10,0.01
2,basil,0,10,0.01
2,nature,0,10,0.01
2,peasant,0,10,0.01
2,negri,0,10,0.01
2,utopian,0,10,0.01
2,nabokov,0,10,0.01
2,occult,0,10,0.01
2,terrorism,0,10,0.01
2,operative,0,10,0.01
2,synopsis,0,10,0.01
1,list,105,11,0.001
4,story,3,11,0.001
3,with,174,13,0.001
21,book,88,14,0.001
1,bitcoin,138,15,0.0001
3,badiou,0,15,0.0001
3,anarchy,0,15,0.0001
3,agile,0,15,0.0001
3,aleister,0,15,0.0001
9,ebook,16,15,0.0001
3,soul,0,15,0.0001
3,lane,0,15,0.0001
3,critique,0,15,0.0001
3,skills,0,15,0.0001
3,crowley,0,15,0.0001
3,derrida,0,15,0.0001
3,richard,0,15,0.0001
4,sense,1,15,0.0001
3,times,0,15,0.0001
3,exercises,0,15,0.0001
3,writings,0,15,0.0001
3,jacques,0,15,0.0001
4,anarchist,1,15,0.0001
3,living,0,15,0.0001
3,communism,0,15,0.0001
10,dummies,17,17,0.0001
4,badass,0,20,0.0001
5,knowledge,1,20,0.0001
4,deadly,0,20,0.0001
4,forbidden,0,20,0.0001
4,hardt,0,20,0.0001
4,michael,0,20,0.0001
6,economics,2,21,0.0001
8,͠≖,6,22,0.0001
8,͜ʖ͠≖,6,22,0.0001
10,books,8,27,0.0001
12,collection,11,30,0.0001
6,slavoj,0,30,0.0001
6,zizek,0,30,0.0001
10,science,4,34,0.0001
9,marx,0,45,0.0001
14,ebooks,5,49,0.0001
12,jean,0,60,0.0001
12,engels,0,60,0.0001
13,baudrillard,0,65,0.0001
121,the,366,128,0.0001
93,of,197,140,0.0001
