freq,word,exfreq,LL,sig
1,€100,0,9,0.01
1,▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄,0,9,0.01
1,€102,0,9,0.01
1,€101,0,9,0.01
1,▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄,0,9,0.01
1,ä50,0,9,0.01
1,cheques,0,9,0.01
1,bleaching,0,9,0.01
1,13gb,0,9,0.01
1,swap,0,9,0.01
1,removing,0,9,0.01
1,ink,0,9,0.01
1,ireland,0,9,0.01
1,acquiring,0,9,0.01
1,â¬50,0,9,0.01
1,passports,0,9,0.01
1,passing,0,9,0.01
5,pack,94,10,0.01
3,mega,26,10,0.01
3,making,26,10,0.01
3,own,20,11,0.001
2,usd,5,11,0.001
2,template,4,11,0.001
3,high,16,12,0.001
2,print,2,13,0.001
6,money,66,17,0.0001
2,counterfeits,0,19,0.0001
2,fake50eurosguide,0,19,0.0001
2,euro,0,19,0.0001
3,quality,3,20,0.0001
3,â¬20,1,24,0.0001
4,pass,7,24,0.0001
3,£20,0,28,0.0001
3,€20,0,28,0.0001
6,currency,9,37,0.0001
6,psd,1,52,0.0001
8,templates,8,55,0.0001
9,notes,1,80,0.0001
13,fake,17,84,0.0001
10,counterfeit,0,96,0.0001
