freq,word,exfreq,LL,sig
2,deleting,2,7,0.01
3,read,8,7,0.01
2,risk,2,7,0.01
11,in,108,7,0.01
2,import,2,7,0.01
2,office,2,7,0.01
2,caught,2,7,0.01
2,product,2,7,0.01
2,options,2,7,0.01
2,th,2,7,0.01
7,best,42,8,0.01
3,post,6,8,0.01
3,after,6,8,0.01
7,do,41,9,0.01
3,drops,5,9,0.01
2,information,1,9,0.01
2,international,1,9,0.01
4,way,10,10,0.01
4,advice,9,10,0.001
2,concealment,0,13,0.001
2,beat,0,13,0.001
2,delivered,0,13,0.001
2,countries,0,13,0.001
2,schedule,0,13,0.001
7,uk,27,13,0.001
2,identifying,0,13,0.001
3,australian,2,13,0.001
2,postage,0,13,0.001
2,priority,0,13,0.001
2,shipments,0,13,0.001
2,received,0,13,0.001
2,empty,0,13,0.001
2,actual,0,13,0.001
3,stealth,1,15,0.0001
4,orders,3,16,0.0001
3,controlled,0,19,0.0001
3,usps,0,19,0.0001
3,stealthy,0,19,0.0001
3,seized,0,19,0.0001
3,box,0,19,0.0001
3,parcels,0,19,0.0001
3,idea,0,19,0.0001
5,send,4,20,0.0001
6,safely,8,20,0.0001
4,receiving,1,21,0.0001
4,packages,0,26,0.0001
5,delivery,0,32,0.0001
6,customs,0,39,0.0001
9,address,6,39,0.0001
12,package,18,39,0.0001
7,smuggling,0,45,0.0001
8,ship,0,52,0.0001
10,shipping,2,54,0.0001
9,postal,0,59,0.0001
13,mail,5,64,0.0001
21,drop,5,112,0.0001
