freq,word,exfreq,LL,sig
1,add,1,7,0.01
1,profiles,1,7,0.01
1,contact,1,7,0.01
1,cpns,1,7,0.01
1,repair,1,7,0.01
1,square,1,7,0.01
1,permanently,1,7,0.01
2,identity,14,8,0.01
2,user,10,9,0.01
4,new,71,9,0.01
2,tested,8,10,0.01
1,au,0,10,0.01
1,▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀get,0,10,0.01
1,mega-system,0,10,0.01
1,ntro,0,10,0.01
1,primaries,0,10,0.01
1,scores,0,10,0.01
1,tradeline,0,10,0.01
1,tradelines-,0,10,0.01
1,scratch,0,10,0.01
1,authorized,0,10,0.01
1,authorised,0,10,0.01
1,tri-merge,0,10,0.01
1,tri-merged,0,10,0.01
2,systems,5,11,0.001
2,boost,1,16,0.0001
2,profile,1,16,0.0001
2,negative,1,16,0.0001
3,clone,10,16,0.0001
4,high,20,18,0.0001
6,â,68,19,0.0001
3,trade,5,19,0.0001
2,resale,0,20,0.0001
3,ghosts,0,30,0.0001
3,bureaus,0,30,0.0001
4,report,3,30,0.0001
6,create,11,38,0.0001
5,cpn,0,50,0.0001
5,lines,0,50,0.0001
5,score,0,50,0.0001
22,credit,46,135,0.0001
